Date,RawTemperature
1951-12-01,12.20197140632962
1952-01-01,11.932684601242045
1952-02-01,12.137613393995878
1952-03-01,12.666424951438387
1952-04-01,13.656470560470723
1952-05-01,14.697015616707063
1952-06-01,15.438292372110197
1952-07-01,15.689035038684779
1952-08-01,15.425123081452796
1952-09-01,14.834390829762583
1952-10-01,13.755192716825945
1952-11-01,12.458310257120218
1952-12-01,11.963745257265089
1953-01-01,11.790526161444689
1953-02-01,12.121410755102715
1953-03-01,12.756634025618212
1953-04-01,13.85967760925331
1953-05-01,14.871880631008139
1953-06-01,15.458667829402657
1953-07-01,15.727223059781295
1953-08-01,15.58249878064936
1953-09-01,14.814445782794735
1953-10-01,13.849249746824626
1953-11-01,12.6767403965153
1953-12-01,12.069533056363525
1954-01-01,11.566598438155722
1954-02-01,11.934659041939597
1954-03-01,12.661137301234533
1954-04-01,13.588769833382003
1954-05-01,14.617846751457193
1954-06-01,15.252764592812753
1954-07-01,15.497788451913493
1954-08-01,15.308851227741059
1954-09-01,14.57075509149638
1954-10-01,13.674066286251104
1954-11-01,12.687769401741434
1954-12-01,11.853571366006634
1955-01-01,11.861251793154509
1955-02-01,11.813548526655438
1955-03-01,12.384407124274219
1955-04-01,13.517423396471202
1955-05-01,14.542530955020709
1955-06-01,15.263933384438076
